POS,ARCHETYPE,PRIMARY,SECONDARY,KEY BADGES,SECONDARY BADGES,,Layups,Dunks,Mid-Range,3PT,Ball Handling,Passing,Post Offense,Rebounding,Steals,Blocks,Vertical,Lat Quickness,Speed,Accel,Strength,Stamina
2,Pure Shot Creator,Shot Creating,Shot Creating,"HOF Mid Range Deadeye, HOF Tear Dropper, HOF Tireless Scorer, HOF Difficult Shots, GOLD Ankle Breaker","Silver Relentless Finisher, Silver Acrobat, Silver One Man Fast Break, Silver Up & Under Specialist, Bronze Corner Specialist, Bronze Defensive Stopper, Bronze Dimer, Bronze Post Spin Technician, Bronze Lob City Passer, Bronze Drop Stepper, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,15-21,13-17,25-25,14-17,16-21,9-14,12-15,9-11,9-14,9-13,14-18,13-15,16-20,17-19,11-14,22-25
2,Pure Playmaker,Passing & Ball Handling,Passing & Ball Handling,"HOF Dimer, HOF Ankle Breaker, HOF Pick & Roll Maestro, HOF Lob City Passer, HOF Flashy Passer","Gold Break Starter, Gold One Man Fast Break, Silver Acrobat, Silver Tireless Scorer, Silver Difficult Shots, Bronze Defensive Stopper, Bronze Relentless Finisher, Bronze Mid Range Deadeye, Bronze Tear Dropper, Bronze Corner Specialist, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,12-17,5-9,11-16,13-16,25-25,25-25,6-8,7-8,9-13,5-7,9-14,13-16,22-25,22-25,9-13,22-25
2,Playmaking Defender,Defending,Passing & Ball Handling,"GOLD Defensive Stopper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger, GOLD Bruiser","Silver One Man Fast Break, Silver Chase Down Artist, Silver Dimer, Silver Ankle Breaker, Silver Acrobat, Silver Pick & Roll Maestro, Silver Lob City Passer, Silver Flashy Passer, Silver Posterizer, Bronze Break Starter, Bronze Lob City Finisher, Bronze Putback King, Bronze Tireless Scorer, Bronze Difficult Shots, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,7-10,10-14,6-9,6-8,13-15,14-15,6-7,10-13,21-22,21-22,19-23,20-23,22-25,22-25,18-22,22-25
2,Sharpshooting Shot Creator,Shot Creating,3pt Shooting,"HOF Tireless Scorer, HOF Difficult Shots, HOF Mid Range Deadeye, GOLD Tear Dropper, SILVER Corner Specialist","Silver Ankle Breaker, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Relentless Finisher, Silver Acrobat, Bronze One Man Fast Break, Bronze Up & Under Specialist, Bronze Pick & Popper, Bronze Defensive Stopper, Bronze Dimer, Bronze Post Spin Technician, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-19,11-14,24-24,18-20,14-19,9-14,11-14,9-11,9-14,8-12,13-17,13-15,14-18,15-17,11-14,22-25
2,Slashing Shot Creator,Shot Creating,Driving & Finishing,"HOF Tear Dropper, GOLD Tireless Scorer, GOLD Mid Range Deadeye, GOLD Difficult Shots, GOLD Relentless Finisher","Gold Acrobat, Gold Ankle Breaker, Gold One Man Fast Break, Silver Posterizer, Bronze Up & Under Specialist, Bronze Corner Specialist, Bronze Defensive Stopper, Bronze Dimer, Bronze Post Spin Technician, Bronze Lob City Finisher, Bronze Putback King, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,19-23,18-19,21-22,12-14,16-20,9-12,11-13,9-11,10-14,9-12,17-20,13-15,18-21,19-20,11-14,22-25
2,Two Way Shot Creator,Shot Creating,Defending,"GOLD Mid Range Deadeye, GOLD Tear Dropper, GOLD Tireless Scorer, GOLD Difficult Shots, SILVER Ankle Breaker","Silver Defensive Stopper, Silver Acrobat, Silver Charge Card, Silver One Man Fast Break, Silver Pick Pocket, Silver Pick Dodger, Silver Relentless Finisher, Bronze Up & Under Specialist, Bronze Bruiser, Bronze Corner Specialist, Bronze Chase Down Artist, Bronze Posterizer, Bronze Dimer, Bronze Post Spin Technician, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,13-18,13-17,20-21,12-14,14-18,9-13,11-13,9-12,15-18,15-18,17-21,16-19,18-22,19-21,14-18,22-25
2,Post Scoring Slasher,Driving & Finishing,Post Scoring,"HOF Relentless Finisher, HOF Acrobat, GOLD Posterizer, GOLD One Man Fast Break, GOLD Tear Dropper","Silver Post Spin Technician, Silver Drop Stepper, Silver Bruiser, Silver Up & Under Specialist, Silver Lob City Finisher, Silver Putback King, Bronze Ankle Breaker, Bronze Tireless Scorer, Bronze Chase Down Artist, Bronze Defensive Stopper, Bronze Dimer, Bronze Pick & Roller, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,23-25,23-23,8-11,5-6,12-15,8-10,14-15,10-15,11-14,9-12,20-21,13-14,19-21,19-22,14-17,22-25
2,Two Way Slasher,Driving & Finishing,Defending,"HOF Posterizer, HOF One Man Fast Break, GOLD Relentless Finisher, GOLD Acrobat, SILVER Tear Dropper","Silver Defensive Stopper, Silver Lob City Finisher, Silver Pick Pocket, Silver Pick Dodger, Silver Charge Card, Silver Chase Down Artist, Silver Putback King, Bronze Ankle Breaker, Bronze Bruiser, Bronze Tireless Scorer, Bronze Dimer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,21-21,22-23,6-9,5-6,12-14,8-10,7-8,9-13,17-19,15-17,23-25,17-19,22-25,22-25,15-20,22-25
2,Post Scoring Playmaker,Passing & Ball Handling,Post Scoring,"GOLD Lob City Passer, GOLD Flashy Passer, GOLD Dimer, GOLD Ankle Breaker, GOLD Pick & Roll Maestro","Silver Break Starter, Silver One Man Fast Break, Silver Acrobat, Silver Post Spin Technician, Silver Drop Stepper, Silver Bruiser, Silver Up & Under Specialist, Silver Relentless Finisher, Silver Tireless Scorer, Silver Difficult Shots, Bronze Defensive Stopper, Bronze Tear Dropper, Bronze Mid Range Deadeye, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,15-20,7-12,11-16,11-14,21-22,21-22,14-15,9-11,9-13,6-9,9-14,12-15,19-22,19-22,14-18,22-25
2,Rebounding Shot Creator,Shot Creating,Rebounding,"GOLD Tear Dropper,  GOLD Tireless Scorer, GOLD Mid Range Deadeye, GOLD Difficult Shots, SILVER Ankle Breaker","Silver Relentless Finisher, Silver One Man Fast Break, Silver Hustle Rebounder, Silver Break Starter, Silver Bruiser, Silver Acrobat, Bronze Up & Under Specialist, Bronze Putback King, Bronze Corner Specialist, Bronze Defensive Stopper, Bronze Posterizer, Bronze Post Spin Technician, Bronze Brick Wall, Bronze Lob City Passer, Bronze Charge Card, Bronze Lob City Finisher, Bronze Dimer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-20,13-17,20-21,12-14,14-18,9-13,12-15,15-17,9-14,9-13,17-21,12-15,15-19,16-18,15-18,22-25
2,Shot Creating Defender,Defending,Shot Creating,"GOLD Defensive Stopper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger, GOLD Bruiser","Silver Chase Down Artist, Silver One Man Fast Break, Silver Mid Range Deadeye, Silver Tear Dropper, Silver Tireless Scorer, Silver Difficult Shots, Silver Acrobat, Silver Posterizer, Bronze Ankle Breaker, Bronze Lob City Finisher, Bronze Relentless Finisher, Bronze Putback King, Bronze Up & Under Specialist, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,8-12,11-16,12-14,6-8,8-12,7-10,7-9,11-14,21-23,21-22,20-23,20-23,20-23,21-23,18-23,22-25
2,Post Scoring Shot Creator,Shot Creating,Post Scoring,"HOF Tear Dropper, GOLD Tireless Scorer, GOLD Mid Range Deadeye, GOLD Difficult Shots, GOLD Up & Under Specialist","Gold Relentless Finisher, Silver Ankle Breaker, Silver Post Spin Technician, Silver Acrobat, Silver Drop Stepper, Silver Bruiser, Bronze One Man Fast Break, Bronze Corner Specialist, Bronze Defensive Stopper, Bronze Dimer, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,17-22,13-17,22-23,12-15,14-19,9-14,17-19,10-13,9-14,9-13,13-17,12-14,14-18,15-17,15-18,22-25
2,Slashing Playmaker,Passing & Ball Handling,Driving & Finishing,"HOF Ankle Breaker, GOLD Dimer, GOLD Lob City Passer, GOLD Flashy Passer, GOLD One Man Fast Break","Gold Pick & Roll Maestro, Gold Acrobat, Silver Break Starter, Silver Relentless Finisher, Silver Tireless Scorer, Silver Posterizer, Silver Tear Dropper, Bronze Difficult Shots, Bronze Defensive Stopper, Bronze Lob City Finisher, Bronze Putback King, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,17-20,13-15,10-15,11-14,23-23,21-22,6-8,7-9,10-14,6-9,14-18,13-16,22-25,22-25,9-14,22-25
2,Rebounding Slasher,Driving & Finishing,Rebounding,"HOF Posterizer, HOF One Man Fast Break, GOLD Relentless Finisher, GOLD Acrobat, SILVER Tear Dropper","Silver Putback King, Silver Lob City Finisher, Silver Hustle Rebounder, Silver Break Starter, Silver Bruiser, Bronze Chase Down Artist, Bronze Ankle Breaker, Bronze Tireless Scorer, Bronze Defensive Stopper, Bronze Pick & Roller, Bronze Dimer, Bronze Pick Dodger, Bronze Brick Wall, Bronze Lob City Passer, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,22-23,22-23,6-9,5-6,12-14,8-10,8-9,15-17,12-15,9-13,23-25,13-15,20-23,20-21,15-20,22-25
2,Shot Creating Playmaker,Passing & Ball Handling,Shot Creating,"HOF Ankle Breaker, GOLD Dimer, GOLD Lob City Passer, GOLD Flashy Passer, GOLD Pick & Roll Maestro","Gold Tireless Scorer, Gold Difficult Shots, Gold One Man Fast Break, Silver Break Starter, Silver Acrobat, Silver Mid Range Deadeye, Silver Tear Dropper, Bronze Relentless Finisher, Bronze Defensive Stopper, Bronze Corner Specialist, Bronze Up & Under Specialist, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,13-18,7-11,17-20,13-16,23-24,21-23,7-10,7-9,9-13,6-8,10-15,13-16,20-23,21-23,9-13,22-25
2,Sharpshooting Defender,Driving & Finishing,3pt Shooting,"GOLD Posterizer, GOLD Relentless Finisher, GOLD Acrobat, GOLD One Man Fast Break, GOLD Tear Dropper","Silver Tireless Scorer, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Corner Specialist, Silver Lob City Finisher, Silver Putback King, Bronze Ankle Breaker, Bronze Chase Down Artist, Bronze Difficult Shots, Bronze Pick & Popper, Bronze Mid Range Deadeye, Bronze Defensive Stopper, Bronze Dimer, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,22-22,20-20,12-14,13-15,13-15,9-11,7-8,9-12,11-14,8-11,20-23,13-15,19-22,19-22,11-14,22-25
2,Post Scoring Defender,Defending,Post Scoring,"HOF Bruiser, GOLD Defensive Stoper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger","Silver Chase Down Artist, Silver Posterizer, Silver Post Spin Technician, Silver Drop Stepper, Silver Up & Under Specialist, Silver Acrobat, Bronze One Man Fast Break, Bronze Relentless Finisher, Bronze Lob City Finisher, Bronze Putback King, Bronze Brick Wall, Bronze Tear Dropper, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,10-14,12-16,6-9,4-5,5-9,7-10,14-14,12-16,21-22,22-23,19-22,19-22,19-22,19-22,21-25,22-25
2,Two Way Playmaker,Passing & Ball Handling,Defending,"GOLD Dimer, GOLD Ankle Breaker, GOLD Pick & Roll Maestro, GOLD Lob City Passer, GOLD Flashy Passer","Gold One Man Fast Break, Silver Break Starter, Silver Defensive Stopper, Silver Acrobat, Silver Charge Card, Silver Pick Pocket, Silver Pick Dodger, Bronze Tireless Scorer, Bronze Difficult Shots, Bronze Bruiser, Bronze Chase Down Artist, Bronze Posterizer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,11-15,6-10,9-14,11-14,21-21,21-21,6-8,8-10,15-18,13-14,14-18,16-20,22-25,22-25,13-18,22-25
2,Lockdown Defender,Defending,Defending,"HOF Defensive Stopper, HOF Pick Pocket, HOF Pick Dodger, HOF Charge Card, GOLD Bruiser","Gold Chase Down Artist, Silver Posterizer, Silver One Man Fast Break, Bronze Acrobat, Bronze Lob City Finisher, Bronze Putback King, Bronze Rim Protector, Bronze Brick Wall, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,6-8,11-15,4-7,4-5,5-7,7-9,6-7,11-15,25-25,25-25,22-25,22-25,22-25,22-25,20-25,22-25
2,Rebounding Playmaker,Passing & Ball Handling,Rebounding,"GOLD Break Starter, GOLD Lob City Passer, GOLD Dimer, GOLD Ankle Breaker, GOLD Pick & Roll Maestro","Gold Flashy Passer, Gold One Man Fast Break, Silver Hustle Rebounder, Silver Bruiser, Silver Acrobat, Bronze Tireless Scorer, Bronze Difficult Shots, Bronze Putback King, Bronze Defensive Stopper, Bronze Relentless Finisher, Bronze Posterizer, Bronze Tear Dropper, Bronze Charge Card, Bronze Lob City Finisher, Bronze Brick Wall, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,12-18,7-11,9-14,11-14,21-21,21-22,7-9,14-15,9-13,6-9,14-18,12-15,20-23,20-22,14-18,22-25
2,Slashing Defender,Defending,Driving & Finishing,"GOLD Defensive Stopper, GOLD Pick Pocket, GOLD Pick Dodger, GOLD Charge Card, GOLD Posterizer","Gold One Man Fast Break, Gold Bruiser, Silver Chase Down Artist, Silver Acrobat, Silver Relentless Finisher, Silver Lob City Finisher, Bronze Putback King, Bronze Tear Dropper, Bronze Ankle Breaker, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-15,17-19,5-8,4-5,7-10,7-9,6-7,11-15,22-23,21-23,22-25,20-23,22-25,22-25,18-23,22-25
2,Sharpshooting Defender,Defending,3pt Shooting,"GOLD Charge Card, GOLD Defensive Stopper, GOLD Pick Pocket, GOLD Pick Dodger, GOLD Bruiser","Silver Chase Down Artist, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Corner Specialist, Silver Posterizer, Bronze One Man Fast Break, Bronze Tireless Scorer, Bronze Acrobat, Bronze Lob City Finisher, Bronze Difficult Shots, Bronze Pick & Popper, Bronze Mid Range Deadeye, Bronze Putback King, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,7-9,9-13,10-13,12-13,6-9,8-10,6-8,10-14,21-22,21-21,19-23,20-23,19-22,19-22,18-22,22-25
2,Sharpshooting Playmaker,Passing & Ball Handling,3pt Shooting,"GOLD Lob City Passer, GOLD Flashy Passer, GOLD Dimer, GOLD Ankle Breaker, GOLD Pick & Roll Maestro","Silver Break Starter, Silver Tireless Scorer, Silver One Man Fast Break, Silver Difficult Shots, Silver Corner Specialist, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Acrobat, Bronze Mid Range Deadeye, Bronze Pick & Popper, Bronze Tear Dropper, Bronze Defensive Stopper, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,12-16,4-8,14-19,18-20,21-22,22-23,6-8,7-8,9-13,5-7,9-14,13-16,19-22,19-22,9-13,22-25
2,Rebounding Defender,Defending,Rebounding,"HOF Bruiser, GOLD Defensive Stoper, GOLD Charge Card, GOLD Pick Pocket, GOLD Pick Dodger","Silver Chase Down Artist, Silver Posterizer, Silver One Man Fast Break, Silver Putback King, Silver Hustle Rebounder, Silver Break Starter, Silver Lob City Finisher, Bronze Acrobat, Bronze Brick Wall, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,7-10,11-16,4-7,4-5,5-8,7-9,7-9,17-19,22-23,22-23,22-25,19-22,20-23,20-22,21-25,22-25
2,Slashing Sharpshooter,3pt Shooting,Driving & Finishing,"GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range, GOLD Corner Specialist. SILVER Tireless Scorer","Silver Tear Dropper, Silver Difficult Shots, Silver Pick & Popper, Silver Posterizer, Silver Relentless Finisher, Silver Acrobat, Silver One Man Fast Break, Silver Mid Range Deadeye, Bronze Lob City Finisher, Bronze Putback King, Bronze Ankle Breaker, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,16-17,11-12,18-20,21-21,10-14,10-13,8-10,7-10,9-13,6-9,14-18,12-15,14-17,14-17,9-14,22-25
2,Playmaking Sharpshooter,3pt Shooting,Passing & Ball Handling,"GOLD Corner Specialist, GOLD Tireless Scorer, GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range","Silver Difficult Shots, Silver Lob City Passer, Silver Flashy Passer, Silver Pick & Popper, Silver Mid Range Deadeye, Silver Dimer, Silver Ankle Breaker, Silver Pick & Roll Maestro, Bronze Tear Dropper, Bronze Break Starter, Bronze One Man Fast Break, Bronze Acrobat, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,10-13,3-5,19-21,22-23,15-18,17-18,8-10,7-9,8-12,5-7,8-14,11-15,14-17,14-17,9-13,22-25
2,Two Way Sharpshooter,3pt Shooting,Defending,"GOLD Corner Specialist, SILVER Tireless Scorer, GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range","Silver Charge Card, Silver Difficult Shots, Silver Pick & Popper, Silver Defensive Stopper, Silver Pick Pocket, Silver Pick Dodger, Silver Mid Range Deadeye, Bronze Bruiser, Bronze Tear Dropper, Bronze Chase Down Artist, Bronze Posterizer, Bronze One Man Fast Break, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,9-10,4-7,17-19,20-21,8-12,10-13,8-9,8-10,15-17,13-14,13-18,15-18,14-17,14-17,13-18,22-25
2,Post Scoring Sharpshooter,3pt Shooting,Post Scoring,"GOLD Corner Specialist, SILVER Tireless Scorer, GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range","Silver Difficult Shots, Silver Pick & Popper, Silver Mid Range Deadeye, Silver Post Spin Technician, Silver Drop Stepper, Silver Bruiser, Silver Up & Under Specialist, Silver Tear Dropper, Bronze Relentless Finisher, Bronze Acrobat, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,13-16,5-8,19-21,21-21,9-13,11-14,15-16,9-12,8-12,6-9,8-14,10-13,9-11,9-11,14-18,22-25
2,Rebounding Sharpshooter,3pt Shooting,Rebounding,"GOLD Corner Specialist, SILVER Tireless Scorer, GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range","Silver Difficult Shots, Silver Pick & Popper, Silver Hustle Rebounder, Silver Break Starter, Silver Bruiser, Silver Mid Range Deadeye, Bronze Tear Dropper, Bronze Putback King, Bronze Posterizer, Bronze Lob City Finisher, Bronze Brick Wall, Bronze One Man Fast Break, Bronze Lob City Passer, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,10-13,4-8,17-19,20-21,8-12,10-13,9-11,14-15,8-13,6-9,13-18,11-14,9-12,9-11,14-18,22-25
2,Shot Creating Sharpshooter,3pt Shooting,Shot Creating,"GOLD Corner Specialist, GOLD Tireless Scorer, GOLD Catch & Shoot, GOLD Deep Range Deadeye, GOLD Limitless Range","Gold Difficult Shots, Gold Mid Range Deadeye, Silver Tear Dropper, Silver Pick & Popper, Bronze Ankle Breaker, Bronze Relentless Finisher, Bronze Acrobat, Bronze One Man Fast Break, Bronze Up & Under Specialist, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,11-14,4-8,23-24,23-23,11-16,11-14,9-11,7-9,8-12,6-8,9-15,11-14,11-14,11-13,9-13,22-25
2,Pure Sharpshooter,3pt Shooting,3pt Shooting,"HOF Catch & Shoot, HOF Deep Range Deadeye, HOF Limitless Range, HOF Corner Specialist, GOLD Tireless Scorer","Silver Difficult Shots, Silver Pick & Popper, Silver Mid Range Deadeye, Bronze Tear Dropper, Bronze Lob City Passer, Bronze Charge Card, Bronze Flashy Passer, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,10-11,2-4,21-23,25-25,9-13,11-14,8-10,7-9,8-12,5-7,8-14,11-14,9-11,9-11,9-13,22-25
3,Playmaking Defender,Defending,Passing & Ball Handling,"GOLD Defensive Stopper, GOLD Charge Card, GOLD Pick Pocket, GOLD Chase Down Artist, GOLD Bruiser","Silver Pick Dodger, Silver Rim Protector, Silver Dimer, Silver Pick & Roll Maestro, Silver Lob City Passer, Silver Break Starter, Silver Flashy Passer, Silver Posterizer, Silver One Man Fast Break, Silver Lob City Finisher, Silver Putback King, Bronze Acrobat, Bronze Ankle Breaker, Bronze Hustle Rebounder, Bronze Pick & Roller, Bronze Brick Wall, Bronze Tireless Scorer, Bronze Difficult Shots, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,7-10,10-14,6-9,6-8,13-15,14-15,6-7,10-13,21-22,21-22,19-23,20-23,22-25,22-25,18-22,22-25
3,Playmaking Shot Creator,Shot Creating,Passing & Ball Handling,"HOF Tireless Scorer, HOF Difficult Shots, GOLD Mid Range Deadeye, GOLD Tear Dropper, SILVER One Man Fast Break","Silver Dimer, Silver Lob City Passer, Silver Ankle Breaker, Silver Relentless Finisher, Silver Acrobat, Silver Pick & Roll Maestro, Silver Break Starter, Silver Flashy Passer, Bronze Up & Under Specialist, Bronze Corner Specialist, Bronze Post Spin Technician, Bronze Drop Stepper, Bronze Defensive Stopper, Bronze Pick & Roller, Bronze Lob City Finisher, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-20,11-15,22-23,14-17,20-23,15-18,11-13,9-10,9-14,8-12,13-17,13-15,18-22,19-21,11-14,22-25
3,Playmaking Slasher,Driving & Finishing,Passing & Ball Handling,"HOF One Man Fast Break, GOLD Acrobat, GOLD Relentless Finisher, GOLD Posterizer,  GOLD Lob City Finisher","Silver Putback King, Silver Lob City Passer, Silver Ankle Breaker, Silver Pick & Roller, Silver Dimer, Silver Pick & Roll Maestro, Silver Break Starter, Silver Flashy Passer, Silver Tear Dropper, Bronze Chase Down Artist, Bronze Hustle Rebounder, Bronze Defensive Stopper, Bronze Tireless Scorer, Bronze Difficult Shots, Bronze Post Spin Technician, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,22-23,21-21,8-11,7-8,18-20,15-16,7-8,9-12,11-14,8-11,20-23,14-16,22-25,22-25,11-14,22-25
3,Slashing Defender,Defending,Driving & Finishing,"HOF Chasedown Artist, GOLD Defensive Stopper, GOLD Charge Card, GOLD Pick Pocket, GOLD Posterizer","Gold Lob City Finisher, Gold Bruiser, Silver Putback King, Silver One Man Fast Break, Silver Pick Dodger, Silver Rim Protector, Silver Acrobat, Silver Relentless Finisher, Silver Pick & Roller, Bronze Hustle Rebounder, Bronze Brick Wall, Bronze Tear Dropper, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,14-15,17-19,5-8,4-5,7-10,7-9,6-7,11-15,22-23,21-23,22-25,20-23,22-25,22-25,18-23,22-25
3,Shot Creating Defender,Defending,Shot Creating,"GOLD Defensive Stopper, GOLD Chase Down Artist, GOLD Charge Card, GOLD Pick Pocket, GOLD Bruiser","Silver Pick Dodger, Silver Rim Protector, Silver Lob City Finisher, Silver Mid Range Deadeye, Silver Tear Dropper, Silver Tireless Scorer, Silver Difficult Shots, Silver Posterizer, Silver Putback King, Bronze One Man Fast Break, Bronze Acrobat, Bronze Hustle Rebounder, Bronze Pick & Roller, Bronze Relentless Finisher, Bronze Brick Wall, Bronze Up & Under Specialist, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,8-12,11-16,12-14,6-8,8-12,7-10,7-9,11-14,21-23,21-22,20-23,20-23,20-23,21-23,18-23,22-25
3,Shot Creating Slasher,Driving & Finishing,Shot Creating,"HOF Relentless Finisher, HOF One Man Fast Break, GOLD Lob City Finisher, GOLD Posterizer, GOLD Acrobat","Gold Tear Dropper, Silver Putback King, Silver Pick & Roller, Silver Tireless Scorer, Silver Mid Range Deadeye, Silver Difficult Shots, Silver Chase Down Artist, Bronze Ankle Breaker, Bronze Hustle Rebounder, Bronze Defensive Stopper, Bronze Post Spin Technician, Bronze Up & Under Specialist, Bronze Lob City Passer, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,23-24,22-23,14-16,7-9,15-17,8-11,8-9,9-12,11-15,9-13,21-23,14-16,21-23,21-23,11-13,22-25
3,Two Way Slasher,Driving & Finishing,Defending,"HOF Posterizer, HOF Lob City Finisher, GOLD One Man Fast Break, GOLD Relentless Finisher, GOLD Acrobat","Gold Putback King, Gold Chase Down Artist, Silver Defensive Stopper, Silver Pick & Roller, Silver Charge Card, Silver Pick Pocket, Bronze Hustle Rebounder, Bronze Tear Dropper, Bronze Bruiser, Bronze Ankle Breaker, Bronze Pick Dodger, Bronze Rim Protector, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,21-21,22-23,6-9,5-6,12-14,8-10,7-8,9-13,17-19,15-17,23-25,17-19,22-25,22-25,15-20,22-25
3,Sharpshooting Defender,Defending,3pt Shooting,"GOLD Charge Card, GOLD Defensive Stopper, GOLD Pick Pocket, GOLD Chase Down Artist, GOLD Bruiser","Silver Pick Dodger, Silver Rim Protector, Silver Catch & Shoot, Silver Deep Range Deadeye, Silver Limitless Range, Silver Corner Specialist, Silver Posterizer, Silver Lob City Finisher, Silver Putback King, Bronze Pick & Popper, Bronze Pick & Roller, Bronze Tireless Scorer, Bronze Hustle Rebounder, Bronze Difficult Shots, Bronze Mid Range Deadeye, Bronze Acrobat, Bronze Brick Wall, Bronze One Man Fast Break, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,7-9,9-13,10-13,12-13,6-9,8-10,6-8,10-14,21-22,21-21,19-23,20-23,19-22,19-22,18-22,22-25
3,Pure Point Forward,Passing & Ball Handling,Passing & Ball Handling,"HOF Dimer, HOF Break Starter, HOF Pick & Roll Maestro, HOF Lob City Passer, HOF Flashy Passer","Gold Ankle Breaker, Gold One Man Fast Break, Silver Acrobat, Silver Tireless Scorer, Silver Defensive Stopper, Bronze Difficult Shots, Bronze Relentless Finisher, Bronze Mid Range Deadeye, Bronze Tear Dropper, Bronze Corner Specialist, Bronze Post Spin Technician, Bronze Charge Card, Gold Glue Hands, Gold Free Throw Ace, Gold Quick Reflexes",,12-17,5-9,11-16,13-16,25-25,25-25,6-8,7-8,9-13,5-7,9-14,13-16,22-25,22-25,9-13,22-25
